id_herb,nama_herb,nama_latin,nama_lokal,link_gambar,deskripsi_khasiat,mengatasi_gejala,komposisi
,Belimbing wuluh,Averrhoa bilimbi,"Belimbing Asam (Jawa, Sunda); Asam Belimbing (Aceh); Limpasu (Sulawesi); Timbai (Sumatera); Lembu (Minangkabau).",,"Adalah tanaman kecil dengan buah berbentuk lonjong berwarna hijau yang memiliki rasa asam yang sangat kuat. Pohonnya tumbuh di daerah tropis dengan daun majemuk kecil dan batang yang kuat. Buahnya sering digunakan sebagai bahan masakan dan pengobatan tradisional karena kandungan vitamin C yang tinggi. Khasiat utamanya adalah membantu menurunkan tekanan darah, mengatasi infeksi ringan, dan mempercepat penyembuhan luka. Selain itu, daunnya juga dipercaya memiliki sifat anti-inflamasi yang membantu mengatasi nyeri sendi.","Batuk
Sakit tenggorokan
Darah tinggi
Jerawat
Nyeri otot","Asam oksalat, vitamin C, saponin, tanin, flavonoid."
,Benalu,Dendrophthoe pentandra,Kemladean (Jawa); Kalanjuk (Minangkabau); Kelan (Aceh); Banalek (Madura); Kalandu (Sunda).,,"Hidup sebagai tanaman parasit yang menempel pada pohon inangnya, dikenal karena sifatnya yang dapat menyerap nutrisi dari inang tersebut. Tanaman ini memiliki daun kecil dan batang yang fleksibel, sering ditemukan di hutan tropis. Dalam pengobatan tradisional, digunakan untuk membantu mengatasi tekanan darah tinggi dan melawan sel kanker tertentu. Ekstraknya mengandung senyawa bioaktif yang memiliki sifat antioksidan dan antimikroba. Selain itu, tanaman ini juga digunakan untuk mempercepat penyembuhan luka dan mencegah infeksi.","Nyeri otot
Nyeri sendi
Darah tinggi
Susah tidur
Pembengkakan","Flavonoid, saponin, tanin, alkaloid, fenolik."
,Beringin,Ficus benjamina,Waringin (Jawa); Pagir (Minangkabau); Kayu Beringin (Aceh); Jambek (Sumatera); Weureu (Sunda).,,"Adalah pohon besar yang dikenal sebagai simbol ketenangan dan ketahanan, sering tumbuh di daerah tropis. Daunnya kecil dan berwarna hijau mengilap, dengan akar yang mencolok dan menjalar. Dalam tradisi, pohon ini sering digunakan untuk keperluan ritual, sementara ekstrak daunnya digunakan untuk mengatasi stres dan meningkatkan kesehatan kulit. Kayunya juga memiliki sifat antiseptik dan digunakan dalam pengobatan tradisional. Selain itu, pohon ini dipercaya memiliki manfaat dalam menjaga keseimbangan lingkungan.","Luka
Pembengkakan
Mimisan
Iritasi kulit
Nyeri otot","Tanin, flavonoid, alkaloid, saponin, sterol."
,Biduri,Calotropis gigantea,Widuri (Jawa); Bintinu (Sunda); Mandalika (Sumbawa); Siduri (Sumatera); Pahuni (Sulawesi).,,"Merupakan tanaman semak dengan getah putih yang sering ditemukan di daerah kering dan berpasir. Daunnya besar, berbulu halus, dan sering digunakan dalam pengobatan tradisional untuk mengatasi berbagai penyakit kulit. Getahnya mengandung senyawa alkaloid yang berfungsi sebagai antiseptik alami. Khasiat lainnya meliputi membantu melancarkan pencernaan, meredakan nyeri otot, dan mengurangi peradangan. Tanaman ini juga dikenal karena kemampuannya dalam meningkatkan daya tahan tubuh.","Nyeri otot
Pembengkakan
Iritasi kulit
Susah tidur
Luka","Saponin, flavonoid, tanin, alkaloid, minyak atsiri."
,Brokoli,Brassica oleracea var. italica,Kembang Kol Hijau (Jawa); Kol Raos (Sunda); Kol Hijau (Sumatera); Brokoli (Aceh); Sayur Hijau (Sulawesi).,,"Adalah tanaman yang sering digunakan dalam masakan dan dikenal sebagai sayuran kaya nutrisi. Tumbuhan ini memiliki batang tebal berwarna hijau dengan bunga kecil yang menyerupai kuntum. Kandungan vitamin C, serat, dan antioksidannya membuat tanaman ini sangat baik untuk menjaga kesehatan tubuh. Khasiatnya meliputi meningkatkan sistem imun, mencegah kanker, dan memperbaiki pencernaan. Tanaman ini juga dipercaya dapat membantu menjaga berat badan dan menurunkan risiko penyakit kronis.","Sakit tenggorokan
Mata lelah
Perut kembung
Kelelahan
Kulit kering","Vitamin C, vitamin K, serat, sulforaphane, beta-karoten."
,Brotowali,Tinospora crispa,Andawali (Jawa); Brotowali (Bali); Putrawali (Sunda); Dali Nyeng (Sulawesi); Panasan (Aceh).,,"Merupakan tanaman merambat dengan batang yang keras dan daun hijau besar. Tanaman ini dikenal karena rasanya yang pahit, namun memiliki banyak manfaat kesehatan. Dalam pengobatan tradisional, sering digunakan untuk mengatasi demam, mengobati diabetes, dan memperbaiki fungsi hati. Ekstrak dari batang dan daunnya mengandung senyawa alkaloid yang memiliki sifat anti-inflamasi dan antipiretik. Selain itu, tanaman ini juga dipercaya membantu meningkatkan nafsu makan dan menguatkan sistem imun.","Demam
Kelelahan
Nyeri otot
Kulit gatal
Tidak nafsu makan","Alkaloid, flavonoid, tanin, saponin, kalium."
,Buni,Antidesma bunius,Wuni (Jawa); Boni (Sunda); Karamunting (Sulawesi); Buah Buni (Sumatera); Puni (Bali).,,"Menghasilkan buah kecil berwarna hitam atau merah yang sering dimakan segar atau diolah menjadi minuman. Pohonnya tumbuh liar di hutan tropis, dengan daun hijau yang berkilau dan bunga kecil berwarna putih. Buah tanaman ini kaya akan antioksidan dan vitamin, menjadikannya baik untuk kesehatan kulit dan menjaga daya tahan tubuh. Khasiat lainnya meliputi meningkatkan fungsi pencernaan, mencegah penuaan dini, dan menjaga kesehatan jantung. Selain itu, buahnya juga digunakan sebagai pewarna alami dalam makanan dan minuman.","Lemas
Sembelit
Demam
Mata lelah
Perut kembung","Vitamin C, antosianin, flavonoid, kalium."
,Calingcing,Oxalis corniculata,Rumput Tembaga (Sumatera); Cicingan (Jawa); Harendong (Sunda); Sarandan (Minangkabau); Duri Cabai (Aceh).,,"Adalah tanaman kecil dengan daun berbentuk hati yang tumbuh subur di daerah lembap. Daunnya memiliki tekstur halus dan sering digunakan sebagai obat tradisional untuk mengatasi radang dan melancarkan pencernaan. Tanaman ini kaya akan vitamin C dan senyawa flavonoid yang memiliki sifat antioksidan. Khasiat lainnya meliputi meredakan sakit perut, mengatasi diare, dan memperbaiki sistem kekebalan tubuh. Tanaman ini juga sering dimanfaatkan sebagai lalapan segar dalam masakan tradisional.","Demam
Perut kembung
Diare
Sakit tenggorokan
Kulit gatal","Flavonoid, saponin, tanin, vitamin C, kalsium."
,Cendana,Santalum album,Sandalwood (Maluku); Kayu Cendana (Sumatera); Sendana (Jawa); Hansa (Sunda); Kulit Wangi (Aceh).,,"Kayunya dikenal dengan aroma khas yang sering digunakan sebagai bahan pembuatan parfum dan dupa. Pohon ini tumbuh subur di daerah tropis, memiliki daun hijau kecil dan bunga kecil berwarna krem. Selain digunakan dalam industri kosmetik, tanaman ini memiliki khasiat untuk menenangkan pikiran dan mengurangi stres. Dalam pengobatan tradisional, sering digunakan untuk mengatasi gangguan tidur dan meredakan nyeri otot. Tanaman ini juga dipercaya dapat meningkatkan konsentrasi dan membantu relaksasi.","Kulit gatal
Kulit berminyak
Jerawat
Bau badan
Kepanasan","Minyak atsiri (santalol), flavonoid, tanin."
,Cengkeh,Syzygium aromaticum,Cengkih (Jawa); Cingkeh (Aceh); Siok (Minangkabau); Keleng (Sunda); Laebone (Sulawesi).,,"Bumbu dapur yang berasal dari bunga kering dengan aroma khas dan rasa yang pedas-manis. Tanaman ini tumbuh subur di daerah tropis, khususnya di dataran tinggi. Kandungan eugenolnya menjadikan tanaman ini sangat berguna untuk mengatasi sakit gigi dan meredakan nyeri. Selain itu, tanaman ini juga memiliki sifat antiseptik dan anti-inflamasi yang membantu melawan infeksi. Khasiat lainnya meliputi meningkatkan pencernaan dan memperbaiki sirkulasi darah.","Sakit gigi
Mual
Perut kembung
Nyeri otot
Bau mulut","Eugenol, tanin, flavonoid, minyak atsiri."
,Cincau,Cyclea barbata ,Camcao (Sunda); Kincau (Jawa); Timang (Sulawesi); Lumun (Minangkabau); Kadedeh (Aceh).,,"Adalah tanaman yang tumbuh merambat dengan daun lebar berwarna hijau tua, sering digunakan untuk membuat minuman herbal. Daunnya mengandung senyawa pektin yang memberikan tekstur kenyal saat dijadikan cincau. Tanaman ini memiliki kemampuan untuk menenangkan perut, melancarkan pencernaan, dan menurunkan suhu tubuh. Dalam pengobatan tradisional, sering digunakan untuk mengatasi panas dalam dan sembelit. Selain itu, minuman dari tanaman ini juga dikenal sebagai penyegar alami yang kaya serat.","Panas dalam
Demam
Diare
Dehidrasi
Sembelit","Klorofil, flavonoid, alkaloid, saponin, serat."
,Ciplukan,Physalis angulata,Cecenet (Sunda); Kopok-kopokan (Jawa); Cipluk (Minangkabau); Bobosa (Sulawesi); Angul-Angul (Aceh).,,"Merupakan tanaman semak kecil dengan buah berbentuk bulat kecil berwarna kuning hingga oranye. Daunnya halus dengan bunga kecil berwarna hijau pucat yang sering tumbuh liar di daerah tropis. Buahnya kaya akan vitamin C dan antioksidan, sering dimanfaatkan untuk meningkatkan daya tahan tubuh dan menjaga kesehatan mata. Khasiat lainnya meliputi membantu menurunkan kadar gula darah, mempercepat penyembuhan luka, dan mengatasi radang tenggorokan. Tanaman ini juga dipercaya memiliki sifat antiinflamasi yang baik untuk kesehatan kulit.","Demam
Batuk
Sakit tenggorokan
Nyeri sendi
Pembengkakan","Vitamin C, flavonoid, saponin, alkaloid, polifenol."
,Dandang gendis,Clinacanthus nutans,Kecubung Udik (Jawa); Kecubung Alas (Sunda); Sekoti (Aceh); Sembahor (Madura); Gendis Alas (Minangkabau).,,"Adalah tanaman perdu dengan batang bercabang yang tumbuh subur di daerah lembap. Daunnya hijau tua dengan permukaan kasar, sering digunakan sebagai bahan obat tradisional. Tanaman ini dikenal kaya akan senyawa bioaktif yang memiliki sifat antiradang dan antimikroba. Khasiatnya meliputi meredakan nyeri sendi, mempercepat penyembuhan luka, dan membantu menurunkan tekanan darah. Selain itu, daun tanaman ini sering digunakan sebagai obat luar untuk mengatasi gatal-gatal dan ruam kulit.","Demam
Pembengkakan
Nyeri otot
Kulit gatal
Perut kembung","Flavonoid, alkaloid, saponin, tanin."
,Daruju,Acanthus ilicifolius,Jeruju (Sumatera); Akar Jeruju (Sunda); Taruju (Jawa); Kaliju (Minangkabau); Taruju Laut (Sulawesi).,,"Merupakan tanaman semak berduri yang tumbuh di daerah berpasir atau dekat pantai. Daunnya kecil, tebal, dan berbulu halus, sering digunakan dalam pengobatan tradisional. Tanaman ini dikenal dengan sifat antimikrobanya yang membantu melawan infeksi kulit dan luka ringan. Khasiat lainnya meliputi membantu melancarkan pencernaan, meredakan batuk, dan mengatasi peradangan ringan. Ekstrak daunnya sering dijadikan bahan dasar salep herbal untuk berbagai masalah kulit.","Luka
Pembengkakan
Kulit gatal
Nyeri otot
Kulit merah","Flavonoid, saponin, tanin, alkaloid."
,Daun dewa,Gynura procumbens,Ngokilo (Jawa); Sambung Nyowo (Sunda); Sirih Dewa (Minangkabau); Ginseng Jawa (Aceh); Daun Tumpang (Madura).,,"Adalah tanaman semak dengan daun lebar dan bunga kecil berwarna kuning pucat. Tanaman ini sering ditanam sebagai obat keluarga karena memiliki banyak manfaat kesehatan. Daunnya mengandung senyawa bioaktif yang berfungsi sebagai antiinflamasi dan antinyeri. Dalam pengobatan tradisional, sering digunakan untuk melancarkan peredaran darah, meredakan nyeri menstruasi, dan mempercepat pemulihan pascaoperasi. Selain itu, tanaman ini juga dipercaya membantu meningkatkan stamina tubuh.","Pembengkakan
Nyeri haid
Sakit kepala
Luka
Varises","Saponin, flavonoid, minyak atsiri, tanin."
,Daun jintan,Coleus amboinicus,Torbangun (Batak); Jintan Alas (Sunda); Daun Jinten (Jawa); Daun Runtu (Sulawesi); Daun Unggut (Minangkabau).,,"Adalah tanaman semak kecil dengan daun berbentuk hati yang sering digunakan sebagai bumbu dan obat herbal. Daunnya memiliki aroma khas yang sering digunakan dalam masakan tradisional untuk meningkatkan rasa. Tanaman ini juga dikenal memiliki khasiat untuk melancarkan pencernaan dan meningkatkan nafsu makan. Dalam pengobatan tradisional, sering digunakan untuk mengatasi masuk angin, meredakan perut kembung, dan mengurangi rasa mual. Ekstrak dari daunnya juga dipercaya membantu mempercepat penyembuhan luka.","Perut kembung
Batuk
Mual
Nyeri otot
Sakit kepala","Minyak atsiri, flavonoid, saponin, fenolik."
,Daun ungu,Graptophyllum pictum,Karotong (Jawa); Daun Tempuyung (Sunda); Daun Lugu (Sumatera); Tempurung (Madura); Karuk Laut (Sulawesi).,,"Merupakan tanaman perdu dengan daun berbentuk lonjong berwarna ungu gelap yang sering digunakan sebagai tanaman hias dan obat. Daunnya memiliki tekstur tebal dan mengandung senyawa aktif yang baik untuk kesehatan kulit. Khasiatnya meliputi meredakan wasir, membantu melancarkan pencernaan, dan mengatasi nyeri otot. Dalam pengobatan tradisional, ekstrak daun sering digunakan sebagai obat oles untuk luka ringan dan memar. Tanaman ini juga dipercaya membantu menurunkan tekanan darah dan meningkatkan sirkulasi darah.","Pembengkakan
Sembelit
Kulit gatal
Luka
Perut kembung","Saponin, flavonoid, alkaloid, tanin."
,Delima,Punica granatum,Glima (Sunda); Delimo (Jawa); Dalimo (Aceh); Timolo (Sulawesi); Dali Nimo (Minangkabau).,,"Adalah pohon buah yang dikenal dengan buahnya yang berwarna merah cerah dan kaya akan vitamin C. Pohonnya tumbuh subur di daerah tropis dengan batang yang kokoh dan daun berwarna hijau gelap. Selain digunakan sebagai bahan makanan, buahnya memiliki sifat antioksidan yang membantu melawan radikal bebas. Khasiatnya meliputi meningkatkan daya tahan tubuh, menjaga kesehatan kulit, dan membantu melancarkan pencernaan. Selain itu, biji buahny","Diare
Sakit tenggorokan
Perut kembung
Sariawan
Kulit kering","Vitamin C, tanin, flavonoid, asam organik."
,Ekor kucing,Acalypha hispida,Angsana (Jawa); Rumput Cingur (Sunda); Akar Kucing (Sulawesi); Tali Ekor (Aceh); Rumbai Taling (Madura).,,"Merupakan tanaman perdu dengan daun berbulu halus dan bunga kecil berwarna merah muda. Tanaman ini tumbuh subur di daerah tropis dengan tanah yang gembur. Daunnya sering digunakan sebagai bahan obat tradisional untuk mengatasi berbagai masalah kulit, seperti gatal-gatal dan ruam. Khasiat lainnya meliputi membantu melancarkan peredaran darah, meredakan nyeri otot, dan memperbaiki kesehatan rambut. Tanaman ini juga dipercaya dapat meningkatkan kualitas tidur dengan efek relaksasi alaminya.","Kulit gatal
Kulit iritasi
Sakit kepala
Nyeri otot
Gangguan buang air kecil","Saponin, flavonoid, tanin, alkaloid."
,Enau,Arenga pinnata,Aren (Jawa); Bagot (Batak); Bilulu (Nusa Tenggara); Kalapa Gading (Minangkabau); Puteh Jawo (Aceh).,,"Adalah tanaman palem besar yang sering digunakan untuk menghasilkan gula aren. Batangnya tinggi dengan serat kasar, sementara daunnya menjuntai panjang dan berwarna hijau tua. Selain digunakan sebagai bahan makanan, tanaman ini memiliki khasiat untuk meningkatkan energi dan memperbaiki metabolisme tubuh. Dalam pengobatan tradisional, nira dari tanaman ini sering digunakan untuk membantu melancarkan pencernaan dan mengatasi batuk. Selain itu, serat dari batangnya juga dimanfaatkan untuk membuat anyaman atau produk kerajinan.","Batuk
Dahak berlebih
Sariawan
Lemas
Gangguan pencernaan","Sukrosa, glukosa, protein, vitamin B kompleks."
,Gambir,Uncaria gambir,Gambier (Sumatera); Gambe (Minangkabau); Tanak Loto (Sulawesi); Puan Gambe (Aceh); Gampari (Sunda).,,"Merupakan tanaman yang berasal dari batang pohon tinggi dengan daun kecil yang sering digunakan sebagai bahan pengobatan tradisional. Daunnya memiliki warna hijau gelap, sedangkan batangnya mengandung resin alami yang berkhasiat untuk kesehatan. Tanaman ini terkenal karena kandungan katekin yang memiliki sifat antioksidan kuat. Khasiatnya meliputi membantu menghentikan diare, menjaga kesehatan kulit, dan mempercepat penyembuhan luka. Selain itu, sering digunakan sebagai bahan dasar ramuan untuk menjaga kesehatan mulut dan gigi.","Sariawan
Gusi berdarah
Diare
Bau mulut
Luka","Katekin, tanin, flavonoid, alkaloid."
,Gandarusa,Justicia gendarussa,Handarusa (Jawa); Rusa Alas (Sunda); Gendarusa (Aceh); Randurusa (Madura); Tebu Rusa (Sulawesi).,,"Adalah tanaman semak kecil dengan batang bercabang dan daun hijau runcing yang sering ditemukan di daerah tropis. Daunnya kaya akan senyawa bioaktif yang membantu meningkatkan sirkulasi darah dan meredakan nyeri. Dalam pengobatan tradisional, sering digunakan untuk mengatasi rematik, melancarkan haid, dan meredakan nyeri sendi. Khasiat lainnya meliputi mempercepat penyembuhan luka dan membantu mengatasi infeksi kulit. Tanaman ini juga dipercaya mampu meningkatkan stamina tubuh secara alami.","Nyeri otot
Memar
Pembengkakan
Sakit kepala
Nyeri haid","Alkaloid, flavonoid, tanin, saponin."
,Gendola,Basella alba,Gendol (Jawa); Daun Gendola (Sunda); Lumbu Tanah (Aceh); Gendu-Gendu (Sulawesi); Daun Tali (Madura).,,"Merupakan tanaman merambat dengan batang lunak dan daun berbentuk hati berwarna hijau tua. Tumbuh subur di daerah lembap, sering digunakan sebagai sayuran atau obat tradisional. Daunnya kaya akan vitamin dan serat yang baik untuk kesehatan pencernaan. Khasiatnya meliputi membantu mengatasi sembelit, menurunkan demam, dan mempercepat pemulihan tubuh setelah sakit. Selain itu, tanaman ini juga dipercaya mampu meningkatkan metabolisme tubuh.","Sembelit
Kulit radang
Demam
Nyeri haid
Luka","Vitamin A, vitamin C, flavonoid, serat."
-,Ginjean,Pistia stratiotes,Kiambang (Sunda); Genjer (Jawa); Pucuk Genjer (Sumatera); Lumbu Air (Aceh); Daun Kinje (Sulawesi).,,"Adalah tanaman air dengan daun lebar berwarna hijau yang sering ditemukan di kolam atau rawa-rawa. Daunnya memiliki tekstur licin dan kaya akan nutrisi yang baik untuk kesehatan. Tanaman ini sering digunakan dalam pengobatan tradisional untuk melancarkan pencernaan dan meningkatkan nafsu makan. Khasiat lainnya meliputi membantu mengatasi anemia, memperbaiki kesehatan kulit, dan menjaga fungsi hati. Selain itu, tanaman ini juga dipercaya mampu memperbaiki sistem peredaran darah.","Perut kembung
Gangguan pencernaan
Nyeri otot
Luka
Nyeri haid","Flavonoid, saponin, alkaloid, tanin."
,Jahe,Zingiber officinale,Jae (Jawa); Halia (Melayu); Uwe Ala (Minangkabau); Balaka (Aceh); Lepa Tobo (Sulawesi).,,"Merupakan tanaman rimpang dengan aroma khas dan rasa pedas hangat yang sering digunakan sebagai bumbu dapur dan obat herbal. Tanaman ini memiliki batang tegak dengan daun berbentuk pita yang panjang. Kaya akan senyawa gingerol, tanaman ini dikenal memiliki sifat anti-inflamasi dan antioksidan yang kuat. Khasiatnya meliputi meredakan mual, mengurangi nyeri otot, dan membantu mengatasi masuk angin. Selain itu, sering digunakan untuk meningkatkan imunitas dan memperbaiki sirkulasi darah.","Mual
Batuk
Perut kembung
Nyeri otot
Pusing","Gingerol, shogaol, minyak atsiri, vitamin C, flavonoid."
,Iler,Plectranthus scutellarioides,Miana (Sulawesi); Kentangan (Jawa); Oler (Sunda); Daun Tete (Minangkabau); Pucuk Iler (Aceh).,,"Adalah tanaman semak kecil dengan daun berwarna hijau hingga ungu yang sering digunakan sebagai tanaman hias dan obat. Daunnya mengandung senyawa flavonoid dan alkaloid yang bermanfaat untuk kesehatan. Dalam pengobatan tradisional, digunakan untuk mengobati luka bakar, meredakan nyeri, dan mempercepat penyembuhan luka. Khasiat lainnya meliputi membantu melancarkan pencernaan dan mengurangi peradangan. Tanaman ini juga dipercaya mampu meningkatkan daya tahan tubuh.","Demam
Sariawan
Luka
Batuk
Perut kembung","Flavonoid, tanin, alkaloid, minyak atsiri."
