id_herb,nama_herb,nama_latin,nama_lokal,link_gambar,deskripsi_khasiat,mengatasi_gejala,komposisi
11,Belimbing wuluh,Averrhoa bilimbi,"""Belimbing Asam (Jawa, Sunda)"",""Asam Belimbing (Aceh)"",""Limpasu (Sulawesi)"",""Timbai (Sumatera)"",""Lembu (Minangkabau)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/belimbing-wuluh.jpg,"tanaman kecil dengan buah berbentuk lonjong berwarna hijau yang memiliki rasa asam yang sangat kuat. Pohonnya tumbuh di daerah tropis dengan daun majemuk kecil dan batang yang kuat. Buahnya sering digunakan sebagai bahan masakan dan pengobatan tradisional karena kandungan vitamin C yang tinggi. Khasiat utamanya membantu menurunkan tekanan darah, mengatasi infeksi ringan, dan mempercepat penyembuhan luka. Selain itu, daunnya juga dipercaya memiliki sifat anti-inflamasi yang membantu mengatasi nyeri sendi.","""Batuk"", ""Sakit tenggorokan"", ""Darah tinggi"", ""Jerawat"", ""Nyeri otot""","Asam oksalat, vitamin C, saponin, tanin, flavonoid."
12,Benalu,Dendrophthoe pentandra,"""Kemladean (Jawa)"",""Kalanjuk (Minangkabau)"",""Kelan (Aceh)"",""Banalek (Madura)"",""Kalandu (Sunda).""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/benalu.jpg,"Hidup sebagai tanaman parasit yang menempel pada pohon inangnya, dikenal karena sifatnya yang dapat menyerap nutrisi dari inang tersebut. Tanaman ini memiliki daun kecil dan batang yang fleksibel, sering ditemukan di hutan tropis. Dalam pengobatan tradisional, digunakan untuk membantu mengatasi tekanan darah tinggi dan melawan sel kanker tertentu. Ekstraknya mengandung senyawa bioaktif yang memiliki sifat antioksidan dan antimikroba. Selain itu, tanaman ini juga digunakan untuk mempercepat penyembuhan luka dan mencegah infeksi.","""Nyeri otot"", ""Nyeri sendi"", ""Darah tinggi"", ""Susah tidur"", ""Pembengkakan""","Flavonoid, saponin, tanin, alkaloid, fenolik."
13,Beringin,Ficus benjamina,"""Waringin (Jawa)"",""Pagir (Minangkabau)"",""Kayu Beringin (Aceh)"",""Jambek (Sumatera)"",""Weureu (Sunda)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/beringin.jpg,"pohon besar yang dikenal sebagai simbol ketenangan dan ketahanan, sering tumbuh di daerah tropis. Daunnya kecil dan berwarna hijau mengilap, dengan akar yang mencolok dan menjalar. Dalam tradisi, pohon ini sering digunakan untuk keperluan ritual, sementara ekstrak daunnya digunakan untuk mengatasi stres dan meningkatkan kesehatan kulit. Kayunya juga memiliki sifat antiseptik dan digunakan dalam pengobatan tradisional. Selain itu, pohon ini dipercaya memiliki manfaat dalam menjaga keseimbangan lingkungan.","""Luka"", ""Pembengkakan"", ""Mimisan"", ""Iritasi kulit"", ""Nyeri otot""","Tanin, flavonoid, alkaloid, saponin, sterol."
14,Biduri,Calotropis gigantea,"""Widuri (Jawa)"",""Bintinu (Sunda)"",""Mandalika (Sumbawa)"",""Siduri (Sumatera)"",""Pahuni (Sulawesi)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/biduri.jpeg,"tanaman semak dengan getah putih yang sering ditemukan di daerah kering dan berpasir. Daunnya besar, berbulu halus, dan sering digunakan dalam pengobatan tradisional untuk mengatasi berbagai penyakit kulit. Getahnya mengandung senyawa alkaloid yang berfungsi sebagai antiseptik alami. Khasiat lainnya meliputi membantu melancarkan pencernaan, meredakan nyeri otot, dan mengurangi peradangan. Tanaman ini juga dikenal karena kemampuannya dalam meningkatkan daya tahan tubuh.","""Nyeri otot"", ""Pembengkakan"", ""Iritasi kulit"", ""Susah tidur"", ""Luka""","Saponin, flavonoid, tanin, alkaloid, minyak atsiri."
15,Brokoli,Brassica oleracea var. italica,"""Kembang Kol Hijau (Jawa)"",""Kol Raos (Sunda)"",""Kol Hijau (Sumatera)"",""Brokoli (Aceh)"",""Sayur Hijau (Sulawesi)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/brokoli.jpeg,"tanaman yang sering digunakan dalam masakan dan dikenal sebagai sayuran kaya nutrisi. Tumbuhan ini memiliki batang tebal berwarna hijau dengan bunga kecil yang menyerupai kuntum. Kandungan vitamin C, serat, dan antioksidannya membuat tanaman ini sangat baik untuk menjaga kesehatan tubuh. Khasiatnya meliputi meningkatkan sistem imun, mencegah kanker, dan memperbaiki pencernaan. Tanaman ini juga dipercaya dapat membantu menjaga berat badan dan menurunkan risiko penyakit kronis.","""Sakit tenggorokan"", ""Mata lelah"", ""Perut kembung"", ""Kelelahan"", ""Kulit kering""","Vitamin C, vitamin K, serat, sulforaphane, beta-karoten."
16,Brotowali,Tinospora crispa,"""Andawali (Jawa)"",""Brotowali (Bali)"",""Putrawali (Sunda)"",""Dali Nyeng (Sulawesi)"",""Panasan (Aceh)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/brotowali.jpg,"tanaman merambat dengan batang yang keras dan daun hijau besar. Tanaman ini dikenal karena rasanya yang pahit, namun memiliki banyak manfaat kesehatan. Dalam pengobatan tradisional, sering digunakan untuk mengatasi demam, mengobati diabetes, dan memperbaiki fungsi hati. Ekstrak dari batang dan daunnya mengandung senyawa alkaloid yang memiliki sifat anti-inflamasi dan antipiretik. Selain itu, tanaman ini juga dipercaya membantu meningkatkan nafsu makan dan menguatkan sistem imun.","""Demam"", ""Kelelahan"", ""Nyeri otot"", ""Kulit gatal"", ""Tidak nafsu makan""","Alkaloid, flavonoid, tanin, saponin, kalium."
17,Buni,Antidesma bunius,"""Wuni (Jawa)"",""Boni (Sunda)"",""Karamunting (Sulawesi)"",""Buah Buni (Sumatera)"",""Puni (Bali)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/buni.jpg,"Menghasilkan buah kecil berwarna hitam atau merah yang sering dimakan segar atau diolah menjadi minuman. Pohonnya tumbuh liar di hutan tropis, dengan daun hijau yang berkilau dan bunga kecil berwarna putih. Buah tanaman ini kaya akan antioksidan dan vitamin, menjadikannya baik untuk kesehatan kulit dan menjaga daya tahan tubuh. Khasiat lainnya meliputi meningkatkan fungsi pencernaan, mencegah penuaan dini, dan menjaga kesehatan jantung. Selain itu, buahnya juga digunakan sebagai pewarna alami dalam makanan dan minuman.","""Lemas"", ""Sembelit"", ""Demam"", ""Mata lelah"", ""Perut kembung""","Vitamin C, antosianin, flavonoid, kalium."
18,Calingcing,Oxalis corniculata,"""Rumput Tembaga (Sumatera)"",""Cicingan (Jawa)"",""Harendong (Sunda)"",""Sarandan (Minangkabau)"",""Duri Cabai (Aceh)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/calingcing.jpg,"tanaman kecil dengan daun berbentuk hati yang tumbuh subur di daerah lembap. Daunnya memiliki tekstur halus dan sering digunakan sebagai obat tradisional untuk mengatasi radang dan melancarkan pencernaan. Tanaman ini kaya akan vitamin C dan senyawa flavonoid yang memiliki sifat antioksidan. Khasiat lainnya meliputi meredakan sakit perut, mengatasi diare, dan memperbaiki sistem kekebalan tubuh. Tanaman ini juga sering dimanfaatkan sebagai lalapan segar dalam masakan tradisional.","""Demam"", ""Perut kembung"", ""Diare"", ""Sakit tenggorokan"", ""Kulit gatal""","Flavonoid, saponin, tanin, vitamin C, kalsium."
19,Cendana,Santalum album,"""Sandalwood (Maluku)"",""Kayu Cendana (Sumatera)"",""Sendana (Jawa)"",""Hansa (Sunda)"",""Kulit Wangi (Aceh)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/cendana.JPG,"Kayunya dikenal dengan aroma khas yang sering digunakan sebagai bahan pembuatan parfum dan dupa. Pohon ini tumbuh subur di daerah tropis, memiliki daun hijau kecil dan bunga kecil berwarna krem. Selain digunakan dalam industri kosmetik, tanaman ini memiliki khasiat untuk menenangkan pikiran dan mengurangi stres. Dalam pengobatan tradisional, sering digunakan untuk mengatasi gangguan tidur dan meredakan nyeri otot. Tanaman ini juga dipercaya dapat meningkatkan konsentrasi dan membantu relaksasi.","""Kulit gatal"", ""Kulit berminyak"", ""Jerawat"", ""Bau badan"", ""Kepanasan""","Minyak atsiri (santalol), flavonoid, tanin."
20,Cengkeh,Syzygium aromaticum,"""Cengkih (Jawa)"",""Cingkeh (Aceh)"",""Siok (Minangkabau)"",""Keleng (Sunda)"",""Laebone (Sulawesi)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/cengkeh.jpg,"Bumbu dapur yang berasal dari bunga kering dengan aroma khas dan rasa yang pedas-manis. Tanaman ini tumbuh subur di daerah tropis, khususnya di dataran tinggi. Kandungan eugenolnya menjadikan tanaman ini sangat berguna untuk mengatasi sakit gigi dan meredakan nyeri. Selain itu, tanaman ini juga memiliki sifat antiseptik dan anti-inflamasi yang membantu melawan infeksi. Khasiat lainnya meliputi meningkatkan pencernaan dan memperbaiki sirkulasi darah.","""Sakit gigi"", ""Mual"", ""Perut kembung"", ""Nyeri otot"", ""Bau mulut""","Eugenol, tanin, flavonoid, minyak atsiri."
21,Cincau,Cyclea barbata ,"""Camcao (Sunda)"",""Kincau (Jawa)"",""Timang (Sulawesi)"",""Lumun (Minangkabau)"",""Kadedeh (Aceh)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/cincau.jpg,"tanaman yang tumbuh merambat dengan daun lebar berwarna hijau tua, sering digunakan untuk membuat minuman herbal. Daunnya mengandung senyawa pektin yang memberikan tekstur kenyal saat dijadikan cincau. Tanaman ini memiliki kemampuan untuk menenangkan perut, melancarkan pencernaan, dan menurunkan suhu tubuh. Dalam pengobatan tradisional, sering digunakan untuk mengatasi panas dalam dan sembelit. Selain itu, minuman dari tanaman ini juga dikenal sebagai penyegar alami yang kaya serat.","""Panas dalam"", ""Demam"", ""Diare"", ""Dehidrasi"", ""Sembelit""","Klorofil, flavonoid, alkaloid, saponin, serat."
22,Ciplukan,Physalis angulata,"""Cecenet (Sunda)"",""Kopok-kopokan (Jawa)"",""Cipluk (Minangkabau)"",""Bobosa (Sulawesi)"",""Angul-Angul (Aceh)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/ciplukan.jpg,"tanaman semak kecil dengan buah berbentuk bulat kecil berwarna kuning hingga oranye. Daunnya halus dengan bunga kecil berwarna hijau pucat yang sering tumbuh liar di daerah tropis. Buahnya kaya akan vitamin C dan antioksidan, sering dimanfaatkan untuk meningkatkan daya tahan tubuh dan menjaga kesehatan mata. Khasiat lainnya meliputi membantu menurunkan kadar gula darah, mempercepat penyembuhan luka, dan mengatasi radang tenggorokan. Tanaman ini juga dipercaya memiliki sifat antiinflamasi yang baik untuk kesehatan kulit.","""Demam"", ""Batuk"", ""Sakit tenggorokan"", ""Nyeri sendi"", ""Pembengkakan""","Vitamin C, flavonoid, saponin, alkaloid, polifenol."
23,Dandang gendis,Clinacanthus nutans,"""Kecubung Udik (Jawa)"",""Kecubung Alas (Sunda)"",""Sekoti (Aceh)"",""Sembahor (Madura)"",""Gendis Alas (Minangkabau)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/dandang-gendis.jpg,"tanaman perdu dengan batang bercabang yang tumbuh subur di daerah lembap. Daunnya hijau tua dengan permukaan kasar, sering digunakan sebagai bahan obat tradisional. Tanaman ini dikenal kaya akan senyawa bioaktif yang memiliki sifat antiradang dan antimikroba. Khasiatnya meliputi meredakan nyeri sendi, mempercepat penyembuhan luka, dan membantu menurunkan tekanan darah. Selain itu, daun tanaman ini sering digunakan sebagai obat luar untuk mengatasi gatal-gatal dan ruam kulit.","""Demam"", ""Pembengkakan"", ""Nyeri otot"", ""Kulit gatal"", ""Perut kembung""","Flavonoid, alkaloid, saponin, tanin."
24,Daruju,Acanthus ilicifolius,"""Jeruju (Sumatera)"",""Akar Jeruju (Sunda)"",""Taruju (Jawa)"",""Kaliju (Minangkabau)"",""Taruju Laut (Sulawesi)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/daruju.jpg,"tanaman semak berduri yang tumbuh di daerah berpasir atau dekat pantai. Daunnya kecil, tebal, dan berbulu halus, sering digunakan dalam pengobatan tradisional. Tanaman ini dikenal dengan sifat antimikrobanya yang membantu melawan infeksi kulit dan luka ringan. Khasiat lainnya meliputi membantu melancarkan pencernaan, meredakan batuk, dan mengatasi peradangan ringan. Ekstrak daunnya sering dijadikan bahan dasar salep herbal untuk berbagai masalah kulit.","""Luka"", ""Pembengkakan"", ""Kulit gatal"", ""Nyeri otot"", ""Kulit merah""","Flavonoid, saponin, tanin, alkaloid."
25,Daun dewa,Gynura procumbens,"""Ngokilo (Jawa)"",""Sambung Nyowo (Sunda)"",""Sirih Dewa (Minangkabau)"",""Ginseng Jawa (Aceh)"",""Daun Tumpang (Madura)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/daun-dewa.jpg,"tanaman semak dengan daun lebar dan bunga kecil berwarna kuning pucat. Tanaman ini sering ditanam sebagai obat keluarga karena memiliki banyak manfaat kesehatan. Daunnya mengandung senyawa bioaktif yang berfungsi sebagai antiinflamasi dan antinyeri. Dalam pengobatan tradisional, sering digunakan untuk melancarkan peredaran darah, meredakan nyeri menstruasi, dan mempercepat pemulihan pascaoperasi. Selain itu, tanaman ini juga dipercaya membantu meningkatkan stamina tubuh.","""Pembengkakan"", ""Nyeri haid"", ""Sakit kepala"", ""Luka"", ""Varises""","Saponin, flavonoid, minyak atsiri, tanin."
26,Daun jintan,Coleus amboinicus,"""Torbangun (Batak)"",""Jintan Alas (Sunda)"",""Daun Jinten (Jawa)"",""Daun Runtu (Sulawesi)"",""Daun Unggut (Minangkabau)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/daun-jintan.jpg,"tanaman semak kecil dengan daun berbentuk hati yang sering digunakan sebagai bumbu dan obat herbal. Daunnya memiliki aroma khas yang sering digunakan dalam masakan tradisional untuk meningkatkan rasa. Tanaman ini juga dikenal memiliki khasiat untuk melancarkan pencernaan dan meningkatkan nafsu makan. Dalam pengobatan tradisional, sering digunakan untuk mengatasi masuk angin, meredakan perut kembung, dan mengurangi rasa mual. Ekstrak dari daunnya juga dipercaya membantu mempercepat penyembuhan luka.","""Perut kembung"", ""Batuk"", ""Mual"", ""Nyeri otot"", ""Sakit kepala""","Minyak atsiri, flavonoid, saponin, fenolik."
27,Daun ungu,Graptophyllum pictum,"""Karotong (Jawa)"",""Daun Tempuyung (Sunda)"",""Daun Lugu (Sumatera)"",""Tempurung (Madura)"",""Karuk Laut (Sulawesi)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/daun-ungu.jpeg,"tanaman perdu dengan daun berbentuk lonjong berwarna ungu gelap yang sering digunakan sebagai tanaman hias dan obat. Daunnya memiliki tekstur tebal dan mengandung senyawa aktif yang baik untuk kesehatan kulit. Khasiatnya meliputi meredakan wasir, membantu melancarkan pencernaan, dan mengatasi nyeri otot. Dalam pengobatan tradisional, ekstrak daun sering digunakan sebagai obat oles untuk luka ringan dan memar. Tanaman ini juga dipercaya membantu menurunkan tekanan darah dan meningkatkan sirkulasi darah.","""Pembengkakan"", ""Sembelit"", ""Kulit gatal"", ""Luka"", ""Perut kembung""","Saponin, flavonoid, alkaloid, tanin."
28,Delima,Punica granatum,"""Glima (Sunda)"",""Delimo (Jawa)"",""Dalimo (Aceh)"",""Timolo (Sulawesi)"",""Dali Nimo (Minangkabau)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/delima.jpg,"pohon buah yang dikenal dengan buahnya yang berwarna merah cerah dan kaya akan vitamin C. Pohonnya tumbuh subur di daerah tropis dengan batang yang kokoh dan daun berwarna hijau gelap. Selain digunakan sebagai bahan makanan, buahnya memiliki sifat antioksidan yang membantu melawan radikal bebas. Khasiatnya meliputi meningkatkan daya tahan tubuh, menjaga kesehatan kulit, dan membantu melancarkan pencernaan. Selain itu, biji buahny","""Diare"", ""Sakit tenggorokan"", ""Perut kembung"", ""Sariawan"", ""Kulit kering""","Vitamin C, tanin, flavonoid, asam organik."
29,Ekor kucing,Acalypha hispida,"""Angsana (Jawa)"",""Rumput Cingur (Sunda)"",""Akar Kucing (Sulawesi)"",""Tali Ekor (Aceh)"",""Rumbai Taling (Madura)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/ekor-kucing.jpg,"tanaman perdu dengan daun berbulu halus dan bunga kecil berwarna merah muda. Tanaman ini tumbuh subur di daerah tropis dengan tanah yang gembur. Daunnya sering digunakan sebagai bahan obat tradisional untuk mengatasi berbagai masalah kulit, seperti gatal-gatal dan ruam. Khasiat lainnya meliputi membantu melancarkan peredaran darah, meredakan nyeri otot, dan memperbaiki kesehatan rambut. Tanaman ini juga dipercaya dapat meningkatkan kualitas tidur dengan efek relaksasi alaminya.","""Kulit gatal"", ""Kulit iritasi"", ""Sakit kepala"", ""Nyeri otot"", ""Gangguan buang air kecil""","Saponin, flavonoid, tanin, alkaloid."
30,Enau,Arenga pinnata,"""Aren (Jawa)"",""Bagot (Batak)"",""Bilulu (Nusa Tenggara)"",""Kalapa Gading (Minangkabau)"",""Puteh Jawo (Aceh)""",https://storage.googleapis.com/c242-ps076-herbamate-bucket/img-homapage/enau.jpg,"tanaman palem besar yang sering digunakan untuk menghasilkan gula aren. Batangnya tinggi dengan serat kasar, sementara daunnya menjuntai panjang dan berwarna hijau tua. Selain digunakan sebagai bahan makanan, tanaman ini memiliki khasiat untuk meningkatkan energi dan memperbaiki metabolisme tubuh. Dalam pengobatan tradisional, nira dari tanaman ini sering digunakan untuk membantu melancarkan pencernaan dan mengatasi batuk. Selain itu, serat dari batangnya juga dimanfaatkan untuk membuat anyaman atau produk kerajinan.","""Batuk"", ""Dahak berlebih"", ""Sariawan"", ""Lemas"", ""Gangguan pencernaan""","Sukrosa, glukosa, protein, vitamin B kompleks."
